name,category,special_price,usual_price,stock_qty,image_url,description
Baby Wet Wipes,"Baby, Child & Toys",7.5,8.85,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13080660_XL1_20240820.jpg?w=320&q=60,"Baby Wet Wipes from Baby, Child & Toys."
Infant Formula Stage 1,"Baby, Child & Toys",88.35,99.85,205,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13226895_XL1_20230928.jpg?w=320&q=60,"Infant Formula Stage 1 from Baby, Child & Toys."
Baby Shampoo,"Baby, Child & Toys",19.2,25.86,190,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13237102_XL1_20230810.jpg?w=320&q=60,"Baby Shampoo from Baby, Child & Toys."
Kids Toothbrush Pack,"Baby, Child & Toys",8.05,9.86,175,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13173653_XL1_20230217.jpg?w=320&q=60,"Kids Toothbrush Pack from Baby, Child & Toys."
Baby Diapers M,"Baby, Child & Toys",39.9,42.86,160,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13267104_XL1_20250611.jpg?w=320&q=60,"Baby Diapers M from Baby, Child & Toys."
Toddler Snack Puffs,"Baby, Child & Toys",7.75,8.86,145,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12285859_XL1_20251128.jpg?w=320&q=60,"Toddler Snack Puffs from Baby, Child & Toys."
Building Blocks Set,"Baby, Child & Toys",26.6,26.6,130,https://media.nedigital.sg/fairprice/90251567_XL1_20260715202631_872d8644bd10e4525c5993422c79322d.jpg?w=320&q=60,"Building Blocks Set from Baby, Child & Toys."
Wholemeal Bread,Bakery,4.2,4.78,220,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13110179_XL1_20260612.jpg?w=320&q=60,Wholemeal Bread from Bakery.
Croissant 4 Pack,Bakery,9.05,12.78,205,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuuDZd0K25ldfs9ARf8D7PgJn6TF6QG73ukiwbRO5DIg&s=10,Croissant 4 Pack from Bakery.
Butter Bun,Bakery,4.9,5.78,190,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRblgvZGMNxQRACqmlLnOVe23DhHolOO2C9XKr_xs06kA&s=10,Butter Bun from Bakery.
